right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
100.24,16.71,115.51,128.59,97.41,145.14,151.615
97.89,11.01,144.17,148.2,90.08,143.45,159.20499999999998
90.96,21.0,142.64,153.14,86.65,140.56,158.62
82.8,38.03,147.37,160.95,83.04,135.12,156.20999999999998
81.69,40.49,133.82,151.54,87.81,137.75,159.42000000000002
84.04,39.53,145.42,152.94,85.77,133.06,153.765
82.86,36.36,141.42,148.11,89.2,138.96,156.595
95.11,24.32,150.34,151.9,86.32,142.8,155.785
84.87,39.21,141.82,158.64,84.17,137.31,158.635
92.69,30.07,149.55,147.14,82.67,144.12,152.53500000000005
91.1,22.07,146.16,154.29,83.11,139.56,158.605
87.67,21.55,136.38,146.14,87.23,138.04,159.555
79.14,27.72,140.78,155.77,89.89,123.99,159.935
88.04,15.21,126.88,139.04,90.64,138.65,159.87
87.43,23.46,129.25,148.05,86.46,140.2,161.98000000000002
79.88,26.92,124.04,141.87,88.79,128.71,154.92000000000002
82.78,22.5,138.04,151.16,95.41,130.95,157.925
83.41,30.27,94.97,137.14,83.46,136.15,150.20499999999998
82.35,39.81,142.63,155.31,73.13,131.56,155.89999999999998
82.69,34.68,141.67,156.46,74.33,134.23,156.975
80.28,28.93,136.21,148.93,84.74,143.08,157.6
77.09,29.69,127.66,142.89,88.82,142.05,158.855
94.68,11.27,126.5,136.76,96.19,143.08,158.555
93.3,20.5,139.58,145.29,84.37,144.36,160.245
61.89,30.08,89.14,73.72,82.02,74.31,105.05
127.55,54.64,144.52,151.44,117.99,145.09,153.10000000000002
123.67,70.19,81.99,95.05,125.37,138.23,91.205
58.0,38.33,68.05,64.81,133.63,119.52,70.225
75.23,36.84,52.47,64.39,115.43,119.81,68.735
66.97,25.75,80.83,78.44,105.49,118.64,80.72
63.24,39.48,47.72,63.54,131.61,121.83,46.55
67.33,45.23,24.92,49.19,142.83,133.52,35.6
73.68,66.38,15.28,26.52,141.04,131.99,29.725
70.01,60.69,17.93,22.77,150.93,140.96,31.595
77.01,69.88,21.76,25.15,137.68,134.62,31.214999999999996
76.15,71.05,25.94,17.64,140.73,136.78,31.54
80.26,80.59,24.18,19.69,137.97,132.06,25.42
82.28,78.35,23.54,16.72,136.93,136.04,26.865000000000002
79.11,75.66,29.41,19.64,141.42,142.88,32.025
76.97,74.78,30.75,17.64,135.04,138.04,29.21
71.62,66.34,101.76,78.38,138.18,140.53,104.38
74.12,72.01,101.45,90.9,142.26,138.14,105.805
71.64,63.55,109.24,103.35,151.1,138.93,118.58
65.89,64.28,95.86,95.45,146.62,136.3,115.95
65.52,58.66,132.61,135.8,148.57,139.51,155.13
70.7,58.64,148.71,151.83,149.29,126.06,164.89499999999998
