right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
121.74,105.91,133.56,123.48,146.43,145.93,151.16000000000005
121.41,109.18,115.54,108.28,148.92,147.62,132.865
121.03,101.54,146.81,141.3,143.77,147.31,164.99
111.03,86.65,130.53,144.51,143.34,145.37,169.65499999999997
109.15,87.34,137.51,141.58,139.95,145.26,168.85
109.7,96.13,150.46,145.8,141.94,144.6,166.125
113.29,95.34,134.78,128.39,147.77,147.15,161.275
101.24,80.71,156.04,150.25,144.2,142.44,157.63
92.99,68.95,153.76,149.33,138.77,139.62,153.705
96.82,67.75,143.59,139.16,138.45,140.57,156.485
101.84,72.31,142.49,139.67,132.39,141.46,163.31
106.69,74.93,129.69,141.16,143.71,145.44,166.82999999999998
96.74,69.55,141.23,136.66,139.96,142.14,158.425
103.35,73.66,148.48,145.8,137.14,140.45,158.265
103.6,68.18,130.84,133.61,125.4,142.06,165.22
107.67,79.0,134.95,139.34,139.25,142.07,166.895
113.65,93.74,120.53,142.04,140.03,146.6,163.15
111.7,84.49,128.89,147.24,139.82,146.89,171.995
111.33,87.45,139.73,149.19,140.32,145.3,169.73000000000002
109.31,80.59,135.56,144.16,137.17,142.36,167.405
110.03,78.88,139.97,141.89,135.53,143.16,164.14
112.41,85.69,141.82,143.25,137.32,143.64,166.225
108.58,73.49,139.53,146.92,139.03,144.35,162.125
111.83,89.11,137.58,146.64,140.53,143.83,171.08499999999998
112.31,78.09,126.53,145.32,138.59,146.17,171.56
114.16,78.11,117.56,134.0,138.72,145.1,165.255
111.65,80.16,124.37,124.78,137.95,144.01,162.89499999999998
110.68,80.74,144.97,143.02,133.37,142.56,166.625
110.04,82.83,127.56,141.38,138.36,144.73,169.45499999999998
116.54,97.84,127.2,143.63,143.03,146.37,165.98000000000002
114.54,90.23,151.39,150.59,137.69,143.86,164.56
118.14,92.73,154.42,152.91,137.43,144.39,166.125
113.14,83.54,145.64,137.27,135.97,144.0,161.88
108.1,76.2,113.3,139.58,138.69,145.21,164.32
112.05,85.0,127.76,136.58,139.67,146.02,164.6
119.05,96.18,152.05,147.83,137.3,144.57,167.02
114.91,89.23,151.65,148.14,137.14,144.74,165.35500000000002
110.28,86.38,122.04,140.85,140.27,145.14,167.26
109.24,79.55,152.8,155.81,132.71,141.38,164.41
109.5,81.04,148.17,152.09,134.69,142.28,166.91500000000002
116.94,88.37,142.13,144.1,136.62,146.79,169.44
113.83,93.84,141.52,140.39,141.93,146.21,169.14999999999998
117.84,97.93,144.51,149.33,137.52,144.24,172.26
112.03,92.21,152.11,149.97,136.75,143.51,167.79500000000002
115.19,59.37,142.0,147.89,105.53,141.61,172.26
105.91,77.29,155.34,149.93,135.43,144.57,161.335
