right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
44.28,98.67,154.4,162.13,130.44,172.2,162.675
41.71,98.36,147.54,157.46,127.35,172.75,161.13
39.62,98.5,152.26,163.82,130.61,172.86,162.585
39.08,97.11,148.16,158.27,128.17,172.19,161.635
39.67,99.38,142.65,156.76,130.46,171.48,161.32
42.76,98.12,145.98,158.36,130.06,171.23,161.24
43.97,95.64,144.88,152.12,129.13,173.5,161.59500000000003
44.52,96.39,147.32,162.83,129.0,167.19,161.895
40.91,95.84,151.03,160.21,129.88,171.84,161.28500000000005
37.03,98.09,151.42,162.88,130.66,173.01,161.865
36.71,100.24,157.42,167.27,132.21,175.63,160.935
34.8,100.33,158.51,164.97,131.77,172.11,160.895
34.27,95.69,152.65,166.97,128.1,172.37,161.39499999999998
32.05,98.88,158.82,167.19,131.03,173.12,160.06
32.08,98.97,158.13,167.73,129.41,173.75,160.69
37.97,98.5,154.07,163.44,131.56,172.73,161.77499999999998
35.83,100.41,153.09,160.79,133.41,171.3,161.675
40.13,100.98,154.87,163.71,134.92,172.05,162.55
38.76,99.64,141.8,157.8,136.88,170.45,163.73000000000002
32.9,102.28,150.39,165.35,131.69,172.13,161.89499999999998
34.21,101.52,143.81,160.17,134.76,171.75,161.275
33.59,101.74,151.0,167.16,132.83,170.62,160.695
37.64,100.27,150.25,157.68,133.27,169.63,163.14499999999998
37.46,100.7,149.83,154.0,135.44,168.99,162.055
35.38,99.23,145.24,163.1,137.46,170.07,162.42000000000002
37.8,99.11,146.11,164.14,135.55,171.34,161.31
35.33,100.65,153.05,167.23,134.83,168.98,160.72500000000002
34.16,99.7,151.76,163.72,134.26,170.87,158.89
36.57,101.38,152.91,163.81,134.05,169.08,158.96
35.35,98.42,153.36,167.64,131.17,171.75,160.45499999999998
38.15,99.49,153.67,161.87,134.97,168.56,160.665
39.38,95.84,157.03,155.37,134.67,167.23,162.67000000000002
38.21,99.84,153.11,164.82,137.05,168.47,162.94
38.02,99.27,157.36,165.98,137.45,168.98,162.355
35.63,98.86,156.64,166.85,135.31,169.65,162.385
33.57,98.87,158.48,170.71,129.97,170.47,161.29
34.47,100.09,157.34,168.89,132.16,171.08,161.765
33.74,100.19,156.82,168.88,129.39,170.67,159.29000000000002
33.45,96.58,150.79,165.46,132.73,172.44,162.39
35.35,98.99,156.43,170.66,128.53,170.77,160.635
33.79,100.21,155.84,169.93,130.14,170.9,161.07999999999998
33.14,98.85,154.34,170.62,131.01,172.93,161.28
34.72,96.28,153.5,163.67,132.09,167.03,160.735
33.64,98.03,151.67,161.86,132.26,168.69,160.485
32.39,98.92,150.34,160.01,132.49,172.13,163.175
31.98,101.87,150.78,163.17,137.37,170.71,161.11
32.46,98.3,149.85,168.86,127.62,172.4,160.63
32.52,99.78,156.1,165.91,129.43,172.33,160.325
33.76,98.68,158.33,168.89,125.23,171.76,159.64499999999998
35.44,98.38,154.77,167.32,129.18,172.9,160.345
35.35,99.96,156.04,165.76,131.63,171.1,160.84
34.33,99.78,147.74,164.83,136.1,171.78,162.63
37.24,98.71,151.7,164.7,134.21,170.98,162.85500000000002
34.46,95.43,150.04,159.03,132.6,172.31,162.425
36.86,95.12,143.26,157.04,130.89,169.19,162.10000000000002
35.55,95.85,143.7,158.61,131.41,169.04,162.615
38.94,99.62,149.42,157.05,134.34,171.69,162.335
34.68,96.68,147.29,160.8,133.58,170.91,162.605
41.22,99.61,150.28,161.91,134.42,171.9,162.32999999999998
38.32,99.18,153.51,164.65,132.39,172.23,161.365
