right_arm,left_arm,left_leg,right_leg,left_fore_arm,right_fore_arm,waist
57.82,50.95,64.83,53.96,126.46,137.46,64.23
58.55,50.76,76.61,70.43,131.72,141.48,76.78
59.11,48.64,79.66,74.3,130.12,142.91,79.63
45.38,31.78,84.5,74.82,137.92,141.49,83.78999999999999
45.83,35.74,86.03,77.84,136.65,136.05,86.345
53.98,46.76,102.21,92.28,133.22,142.16,101.81
55.32,48.58,90.5,81.18,136.38,141.44,90.615
54.37,47.64,79.89,73.56,136.37,142.81,80.72
55.0,47.92,78.02,70.67,133.64,141.39,78.265
54.49,47.08,76.07,66.93,135.1,144.49,75.815
56.62,47.97,78.43,70.14,131.94,140.33,78.1
56.25,52.01,77.63,72.95,135.1,144.06,80.235
57.05,51.19,96.06,87.31,132.58,141.58,95.22
62.96,53.16,66.37,59.62,129.09,140.83,67.225
61.73,54.29,66.28,57.13,132.81,144.42,65.135
46.3,33.27,86.82,78.2,132.83,136.03,85.225
46.6,33.47,108.81,98.42,134.41,134.29,105.09
46.54,35.75,100.28,89.23,134.48,133.24,96.225
45.67,32.47,106.56,96.16,133.15,134.69,103.025
46.75,34.52,96.27,88.63,135.99,137.06,93.815
42.51,30.17,94.96,87.69,136.65,140.62,94.485
42.08,29.17,120.37,109.4,134.75,135.88,117.45
42.5,29.97,110.72,101.08,132.93,136.13,109.19
41.42,27.87,115.62,104.96,132.54,135.68,113.72
43.11,31.62,107.68,95.12,134.95,136.3,104.76
49.47,34.82,85.85,75.44,129.94,136.98,85.15
49.49,36.91,87.4,78.01,132.13,139.94,86.97
49.96,35.23,93.53,84.39,131.23,139.21,92.94
50.0,34.41,83.93,73.8,133.5,137.21,83.53
50.35,35.59,76.38,69.24,132.22,139.0,76.735
47.27,35.94,86.62,76.73,130.47,137.32,86.825
58.43,44.76,67.17,64.51,124.93,137.31,72.365
54.66,41.46,72.76,67.06,129.58,138.61,76.08
54.4,39.59,84.46,73.65,123.22,131.2,81.22999999999999
54.1,42.63,88.88,76.59,128.46,131.78,85.72999999999999
62.2,52.94,67.74,59.79,126.69,137.49,67.555
61.92,52.1,65.12,56.45,126.03,137.85,65.00999999999999
57.63,50.73,57.48,50.39,136.18,140.25,58.49
57.93,45.3,68.52,59.01,131.74,137.69,68.68
57.21,43.07,74.97,65.2,131.19,139.18,74.495
53.9,40.89,77.18,66.77,134.56,137.87,76.525
53.24,40.38,80.13,67.97,133.77,135.25,79.05
56.0,44.93,66.41,57.72,132.17,134.02,66.575
40.25,26.06,138.34,122.7,121.48,129.7,131.175
57.4,42.0,87.6,71.87,127.33,139.83,85.405
61.01,51.22,67.34,57.85,126.7,137.28,66.86
60.97,54.0,63.89,53.23,128.33,133.77,62.94499999999999
57.28,44.24,79.72,66.91,127.59,134.98,78.445
39.84,23.59,140.54,123.49,123.36,129.65,133.805
42.89,28.56,132.4,114.9,127.28,129.86,125.595
45.44,33.67,90.41,81.02,134.1,135.71,89.38
52.85,39.81,88.31,74.15,130.22,135.01,85.22
46.78,31.48,114.77,98.55,130.5,134.91,110.565
39.64,27.76,128.74,115.32,130.69,132.96,123.565
49.21,33.43,99.73,85.61,129.42,132.93,96.295
50.2,38.96,92.87,76.01,127.4,134.7,89.925
52.23,42.17,91.04,76.36,128.18,134.34,89.325
53.76,43.93,82.93,68.56,130.18,136.5,81.41
52.77,43.91,76.4,63.32,127.52,134.92,75.82499999999999
53.68,39.14,85.21,73.73,124.31,138.32,82.3
58.83,45.14,75.54,66.83,124.57,131.61,73.745
54.99,36.33,84.06,71.89,125.16,136.41,80.595
53.86,40.23,86.84,72.85,127.53,134.31,83.80000000000001
51.83,34.94,103.75,89.61,125.14,129.99,99.82
48.46,33.15,96.14,81.4,130.55,131.94,91.97
55.65,41.58,68.5,58.75,132.63,135.59,67.775
53.8,40.02,61.03,53.75,133.44,136.92,61.455
55.84,43.11,65.43,58.04,132.61,136.24,65.28
47.09,30.34,106.61,90.3,128.85,132.68,101.23
51.98,40.58,69.4,62.85,135.48,135.71,69.715
52.1,39.19,69.64,62.35,134.25,135.14,70.83500000000001
59.24,52.91,89.52,73.79,130.02,140.0,87.13
50.4,35.92,105.85,91.09,127.5,134.39,102.065
43.86,29.22,126.4,121.77,127.53,133.24,125.155
45.23,31.29,108.31,106.64,130.58,136.27,108.455
42.1,28.3,135.39,118.83,124.73,128.87,128.77
42.74,30.03,122.11,110.6,133.16,135.97,119.625
40.98,25.36,122.94,112.5,135.71,141.86,121.14
49.41,43.54,105.79,93.43,134.63,139.05,103.75
45.29,37.04,118.32,106.24,135.04,138.38,115.575
45.98,36.51,112.56,100.54,138.92,140.5,111.055
47.07,38.39,99.11,89.27,140.1,139.77,98.725
47.13,36.27,81.73,79.23,139.78,140.93,84.255
52.2,42.48,84.55,72.4,126.94,132.24,83.745
55.85,45.2,80.53,67.75,125.43,134.41,79.53999999999999
50.29,42.32,85.18,71.18,129.6,135.39,85.365
51.43,44.19,82.66,68.04,130.15,133.19,81.36500000000001
52.16,42.77,76.53,62.78,129.85,135.56,76.60499999999999
55.42,43.85,71.75,60.47,125.38,132.38,72.735
57.36,42.41,74.71,65.14,120.16,130.08,74.22
56.18,41.28,76.34,64.32,124.77,135.66,73.59
56.62,42.44,73.27,63.54,127.03,137.57,72.505
56.31,43.44,75.66,62.04,130.06,137.94,72.82
51.53,35.36,93.17,78.89,129.19,136.97,89.50999999999999
48.15,31.6,98.77,83.35,129.07,135.05,94.65
50.71,36.94,84.76,72.13,131.41,133.3,81.955
49.02,34.14,86.06,75.38,133.69,136.93,83.35
49.85,33.66,91.76,78.12,129.82,139.52,89.07
56.77,40.33,80.17,67.33,127.01,138.13,77.61500000000001
60.0,47.16,72.75,60.05,126.3,138.15,71.1
55.15,44.36,69.55,54.45,127.99,135.11,70.015
60.05,45.28,65.22,52.72,123.98,137.43,65.47
55.87,42.46,93.99,78.14,127.6,137.23,91.65
61.58,47.73,67.9,69.81,128.39,139.67,75.63499999999999
64.93,49.41,63.78,53.62,121.46,134.99,65.15
49.61,32.4,112.82,101.45,119.93,127.43,109.74
50.94,31.39,97.2,88.26,120.41,131.97,94.81
55.71,33.62,88.51,98.38,118.5,132.57,95.535
53.52,34.57,87.88,81.78,122.34,135.07,87.69
54.76,35.82,85.19,93.29,119.23,134.63,91.545
53.78,35.52,86.43,92.74,120.31,133.96,92.57
52.99,34.31,83.2,91.58,121.58,135.91,90.1
51.43,40.77,80.4,70.05,132.37,138.75,79.34
57.24,49.49,91.1,79.14,133.09,138.66,89.61
53.47,40.73,86.96,74.64,132.7,139.32,84.21000000000001
54.19,41.44,92.44,79.29,129.01,132.53,88.095
49.43,37.27,97.23,83.89,128.4,131.86,93.045
52.54,36.33,87.38,86.14,124.82,137.45,89.2
53.86,41.02,95.96,83.2,130.62,137.79,92.625
37.63,23.33,130.1,112.62,121.88,129.06,121.47
39.71,25.02,121.33,126.13,128.49,133.29,123.875
47.48,30.54,113.79,100.58,130.03,132.58,109.6
57.24,40.11,85.05,80.28,121.51,134.69,86.16499999999999
55.04,42.69,81.62,71.87,126.63,134.61,80.67
53.38,39.54,97.9,82.52,123.69,135.86,94.105
52.88,40.54,92.94,78.46,124.05,135.85,90.175
48.73,32.05,112.81,107.08,123.41,128.79,111.905
50.62,32.59,90.34,96.6,122.95,132.48,94.965
49.69,30.55,97.51,110.05,121.45,130.53,105.73
46.66,30.51,100.29,93.57,120.61,130.11,98.33
41.61,26.04,122.46,114.25,129.13,134.27,118.09
40.68,23.5,136.39,123.05,120.53,128.25,129.78
47.48,33.87,115.82,103.41,127.29,131.5,110.36
44.06,31.2,112.87,99.18,130.96,126.36,107.105
51.86,38.11,102.53,94.66,130.26,142.0,100.895
48.97,41.97,88.5,81.56,135.94,141.25,90.11
49.75,43.36,96.35,87.47,135.71,139.75,97.05
48.04,42.27,91.67,85.9,136.74,142.76,93.9
50.88,41.9,104.47,94.53,134.87,143.71,104.635
46.3,37.58,98.84,89.71,139.74,143.86,99.435
38.07,23.19,132.86,122.23,125.75,129.39,128.29000000000002
37.81,26.16,144.51,131.29,126.26,125.95,137.805
41.21,27.17,120.48,109.86,122.18,125.91,116.06
42.89,29.51,102.24,95.02,124.28,127.54,99.635
43.87,30.48,104.77,94.87,126.48,126.52,100.635
43.71,30.21,103.31,93.67,125.82,126.52,99.175
40.93,27.48,125.69,115.36,126.98,125.91,122.025
45.75,29.7,112.68,101.45,123.22,130.45,110.3
46.12,30.69,98.89,85.69,124.13,128.28,94.075
52.64,38.02,87.3,77.23,121.35,129.03,84.455
53.83,40.16,96.28,81.8,124.76,131.19,92.115
55.06,39.18,95.59,79.38,123.77,131.33,90.65
52.35,38.8,77.53,66.31,133.41,134.58,75.995
51.99,37.7,86.61,73.28,128.37,131.79,83.3
52.79,31.89,84.06,93.05,122.54,134.02,91.845
53.91,37.93,83.61,72.17,127.01,132.64,80.88
51.94,32.88,80.47,89.9,123.84,131.75,87.955
51.62,33.33,112.8,107.76,120.11,130.76,113.06
48.52,33.45,87.11,89.92,128.66,131.32,90.85
52.66,33.99,107.95,91.35,122.66,133.24,102.865
54.03,37.54,98.23,82.37,118.71,131.91,93.88
50.69,36.44,92.17,77.99,127.82,131.32,88.255
50.95,36.53,97.12,80.37,127.8,134.88,92.315
50.67,31.42,95.27,83.76,125.41,132.66,93.35
42.95,26.77,108.24,94.62,121.32,126.02,103.48
44.8,28.86,95.35,81.35,122.57,130.11,91.27
38.16,24.25,116.61,100.8,124.02,129.64,112.445
43.87,28.78,104.36,90.09,126.92,130.47,100.59
29.79,19.39,109.12,98.42,140.04,133.1,107.68
43.8,43.15,69.24,64.2,143.51,137.56,70.08500000000001
39.03,37.15,98.01,85.58,138.97,133.44,95.94
48.52,37.97,81.29,68.48,127.38,131.5,80.715
52.8,42.41,69.52,62.86,129.45,136.99,68.36500000000001
52.69,41.33,59.5,55.64,130.3,139.96,59.785
54.8,46.46,54.39,51.14,127.53,136.66,54.66
50.41,38.05,87.37,73.99,127.89,136.83,86.03
53.97,38.33,66.16,58.84,125.64,136.46,66.515
46.87,36.27,82.79,73.38,133.98,141.5,81.785
44.21,33.1,76.9,68.05,139.32,139.83,75.405
41.12,28.69,92.1,79.94,140.84,137.86,88.64
43.83,33.07,93.89,80.62,135.71,139.35,90.945
43.07,31.14,93.86,83.21,131.13,141.97,92.975
44.84,30.02,93.25,81.04,126.91,139.19,91.385
46.83,34.85,85.41,75.06,127.26,139.84,84.36500000000001
39.29,28.73,93.01,83.17,135.46,140.89,91.575
42.68,27.6,114.46,101.6,130.39,137.31,111.11
35.37,29.48,117.79,107.37,134.16,140.94,116.695
39.03,25.72,98.01,85.25,138.91,140.72,95.99
38.22,23.72,94.99,81.09,136.92,139.93,93.4
31.71,18.6,115.62,103.66,135.48,139.72,112.625
40.89,34.49,84.83,73.3,133.4,139.52,84.85
